######################################################
# left side wall
 28.0	 96.0	 84.0		0.00 	90.00 	0.00
 60.0	 80.0	 84.0		0.00 	90.00 	0.00
 76.8	 64.0	 84.0		0.00 	90.00 	0.00
 87.7	 48.0	 84.0		0.00 	90.00 	0.00
 94.7	 32.0	 84.0		0.00 	90.00 	0.00
 98.7	 16.0	 84.0		0.00 	90.00 	0.00
100.0	  0.0	 84.0		0.00 	90.00 	0.00
 98.7	-16.0	 84.0	 	0.00 	90.00 	0.00
 94.7	-32.0	 84.0	 	0.00 	90.00 	0.00
 87.7	-48.0	 84.0	 	0.00 	90.00 	0.00
 76.8	-64.0	 84.0	 	0.00 	90.00 	0.00
 60.0	-80.0	 84.0	 	0.00 	90.00 	0.00
 28.0	-96.0	 84.0	 	0.00 	90.00 	0.00
######################################################
# right side wall
-28.0	 96.0	 84.0		0.00 	90.00 	0.00
-60.0	 80.0	 84.0		0.00 	90.00 	0.00
-76.8	 64.0	 84.0		0.00 	90.00 	0.00
-87.7	 48.0	 84.0		0.00 	90.00 	0.00
-94.7	 32.0	 84.0		0.00 	90.00 	0.00
-98.7	 16.0	 84.0		0.00 	90.00 	0.00
-100.0	  0.0	 84.0		0.00 	90.00 	0.00
-98.7	-16.0	 84.0	 	0.00 	90.00 	0.00
-94.7	-32.0	 84.0	 	0.00 	90.00 	0.00
-87.7	-48.0	 84.0	 	0.00 	90.00 	0.00
-76.8	-64.0	 84.0	 	0.00 	90.00 	0.00
-60.0	-80.0	 84.0	 	0.00 	90.00 	0.00
-28.0	-96.0	 84.0	 	0.00 	90.00 	0.00
